"Referência principal";Referência;"Código de barras";Peso;"Preço principal";"Preço promocional";"Começa em";"Termina em";Stock;Variação{{>}}opção;Imagem;Imagem
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}50 gr / 50 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/50gr.jpg;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}45 gr / 50 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/45gr.jpg;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}40 gr / 50 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/40gr.jpg;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}35 gr / 50 uni.";;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}30 gr / 100 uni.";;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}25 gr / 100 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/25gr.jpg;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}20 gr / 100 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/20gr.jpg;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}15 gr / 100 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/15gr.jpg;
PLIGNOR5GR;PLIGNOR5GR;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}10 gr / 100 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/10gr.jpg;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}55 gr / 50 uni.";;
PLIGNOR5GR;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Peso / Quantidade{{>}}60 gr / 50 uni.";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/60gr.jpg;
TECHTM;TECHTM500;;0.000;9.84;0;0000-00-00;0000-00-00;0.000;Referência{{>}}TECHTM500;https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/TM500.png;
